门,纲,目,科,属,种,缩写,序列号
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Coleoaasciculaceae,Geitlerinema,Geitlerinema sp.P-1104,GeispP,GCF_012911965.1
Cyanobacteria,Cyanophyceae,Synechococcales,Prochlorotrichaceae,Nodosilinea,Nodosilinea?sp.P-1105,NodspP,GCF_012911975.1
Cyanobacteria,Cyanophyceae,Nostocales,Scytonemataceae,Brasilonema,Brasilonema bromeliae,Brabr,GCF_012912135.1
Cyanobacteria,Cyanophyceae,Synechococcales,Oculatellaceae,Thermoleptolyngbya,Thermoleptolyngbya sichuanensis,Thesi,GCF_013177315.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus asticus,Micas,GCF_013179805.1
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena biceps,Psebi,GCF_013361095.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,Citriaermentans,Citriaermentans bremense,Citbr,GCF_014218275.1
Cyanobacteria,Cyanophyceae,Nostocales,aphanizomenonaceae,Cylindrospermopsis,Cylindrospermopsis curvispora,Cylcu,GCF_014489415.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Sirenicapillariaceae,Limnospira,Limnospira ausiaormis,Limau,GCF_014489865.2
Cyanobacteria,Cyanophyceae,Synechococcales,Prochlorotrichaceae,Nodosilinea,Nodosilinea?sp.aaCHB-131,Nodsp3,GCF_014695395.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Coleoaasciculaceae,Coleoaasciculus,Coleoaasciculus?sp.aaCHB-125,Colsp12,GCF_014695485.1
Cyanobacteria,Cyanophyceae,Synechococcales,Oculatellaceae,Oculatella,Oculatella?sp.aaCHB-28,Ocusp,GCF_014696015.1
Cyanobacteria,Cyanophyceae,Synechococcales,Prochlorotrichaceae,Nodosilinea,Nodosilinea?sp.aaCHB-141,Nodsp4,GCF_014696135.1
Cyanobacteria,Cyanophyceae,Synechococcales,Prochlorotrichaceae,Nodosilinea,Nodosilinea?sp.aaCHB-13,Nodsp13,GCF_014696165.1
Cyanobacteria,Cyanophyceae,Nostocales,Calotrichaceae,Calothrix,Calothrix membranacea,Calme,GCF_014696315.1
Cyanobacteria,Cyanophyceae,Nostocales,Calotrichaceae,Calothrix,Calothrix anomala,Calan,GCF_014696435.1
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Limnothrix,Limnothrix?sp.aaCHB-1088,Limsp88,GCF_014696455.1
